#año,area,politica,grupo,programa,EU
2010,3,2,2,D,Lehen Hezkuntza
2010,3,2,2,E,Lanbide Heziketa
2010,3,2,3,1,Ikasleentzako bekak eta laguntzak
2010,3,2,4,1,Irakaskuntzako zerbitzu osagarriak
2010,3,2,4,2,Beste eskola-jarduera batzuetarako laguntza
2010,3,2,5,1,"Eraikuntza, ekipamendua eta material didaktikoak"
2010,3,3,1,1,Kulturako zuzendaritza eta zerbitzu orokorrak
2010,3,3,2,1,Agiritegiak
2010,3,3,2,2,Liburutegiak
2010,3,3,3,1,Museoak
2010,3,3,4,1,Kultura-sustapena eta -lankidetza
2010,3,3,4,2,Liburuak eta kultura-argitalpenak sustatzea
2010,3,3,5,1,Musika eta dantza
2010,3,3,5,2,"Antzerkia, zinematografia eta beste arte eszeniko batzuk"
2010,3,3,6,1,Kirol-jarduerak sustatzea eta babestea
2010,3,3,7,1,"Ondare historikoaren administrazioa, kontserbazioa eta berriztapena"
2010,3,3,7,4,Arkeologia
2010,4,1,1,1,"Nekazaritza, abeltzaintza eta elikagaigintzako zuzendaritza eta zerbitzu orokorrak"
2010,4,1,2,1,"Nekazaritzako ekoizpenen lehiakortasuna, kalitatea eta defentsa"
2010,4,1,2,2,"Abeltzaintzako ekoizpenen lehiakortasuna, kalitatea eta defentsa"
2010,4,1,2,3,Nekazaritza-merkatuak erregulatzea
2010,4,1,3,1,Nekazaritzako elikagaien industriaren lehiakortasuna eta elikagaien kalitatea
2010,4,1,4,1,Ureztatze-lanetarako ur-baliabideak kudeatzea
2010,4,1,4,2,Landa inguruaren garapen iraunkorra
2010,4,1,4,3,Jabetzaren berrantolamendua eta lurzatiak biltzea
2010,4,2,1,1,Industriako eta energiako zuzendaritza eta zerbitzu orokorrak
2010,4,2,1,3,"Industriako lehiakortasuna, kalitatea eta segurtasuna"
2010,4,2,2,2,Industria-garapena
2010,4,2,2,3,Enpresen birmoldaketa eta berrindustrializazioa
2010,4,2,5,2,Energia-neurriei buruzko pizgarriak
2010,4,3,1,3,Kanpo-merkataritza antolatzea eta sustatzea
2010,4,3,1,4,Merkataritza-egiturak antolatzea eta modernizatzea
2010,4,3,2,1,Turismoa koordinatzea eta sustatzea
2010,4,3,2,3,Hotelak eta konplexu turistikoak sustatzea
2010,4,4,1,1,Lurreko garraiorako diru-laguntzak eta babesa
2010,4,5,1,1,Herri-lanetako azterlanak eta laguntza teknikoko zerbitzuak
2010,4,5,1,2,Herri-lanetako azterlanak eta laguntza teknikoko zerbitzuak
2010,4,5,1,3,Herri-lanetako azterlanak eta laguntza teknikoko zerbitzuak
2010,4,5,1,4,Herri-lanetako azterlanak eta laguntza teknikoko zerbitzuak
2010,4,5,2,1,Ur-baliabideen kudeaketa eta azpiegiturak
2010,4,5,3,1,Trenbide-garraioaren azpiegitura
2010,4,5,3,2,Errepide-azpiegiturak sortzea
2010,4,5,3,3,Errepideak kontserbatzea eta ustiatzea
2010,4,5,3,4,Lurreko garraioa antolatzea eta ikuskatzea
2010,4,5,6,1,Uraren kalitatea
2010,4,5,6,2,Ingurumena babestea eta hobetzea
2010,4,5,6,3,Natura-ingurunea babestea eta hobetzea
2010,4,5,6,5,Suteak prebenitu eta itzaltzea
2010,4,5,6,6,Herri-lurrak eta larreak sortzea eta hobetzea
2010,4,5,6,7,Baso-masak kontserbatzea eta hobetzea
2010,4,5,6,9,Kutsadura eta klima-aldaketa prebenitzeko jarduketak
2010,4,5,8,1,Industriako azpiegitura
2010,4,5,9,,Elektrifikazioa eta argiztatzea
2010,4,5,9,1,Elektrifikazioa eta argiztatzea
2010,4,5,A,2,Landa-bideak sortzea eta kontserbatzea
2010,4,5,B,1,Komunitatearen ongizaterako beste zerbitzu batzuk
2010,4,6,5,1,Osasun-arloko ikerketa
2010,4,6,7,3,Ikerketa eta garapen teknologiko-industriala
2010,4,6,7,7,Informazioaren gizartea ikertzea eta garatzea
2010,4,6,7,9,Telekomunikazioen berrikuntza teknologikoa
2010,4,6,8,1,Nekazaritza-sektoreko azterlan teknikoak
2010,4,6,8,2,"Turismoko, industriako, merkataritzako eta best sektore batzuetako azterlanak eta proiektuak"
2010,4,6,9,1,Beste berrikuntza teknologiko batzuk
2010,4,9,2,3,Kontsumitzaileen eta erabiltzaileen eskubideak babestea eta sustatzea
2010,4,9,3,3,Kontabilitatea eta ikuskaritzak erregulatzea
2010,4,9,4,1,Lan-harremanak eta lan-baldintzak administratzea
2010,4,9,5,1,Informazio geografikoa garatzea eta aplikatzea
2010,4,9,5,3,Metrologia
2010,9,1,1,2,Legegintza
2010,9,1,1,3,Sektore publikoaren kanpo-kontrola
2010,9,1,2,1,Nafarroako Gobernua
2010,9,1,2,2,Nafarroako Foru Komunitatearen goi-aholkularitza
2010,9,1,2,3,Legebiltzarrarekiko harremanak
2010,9,2,1,1,"Administrazio Publikoaren zuzendaritza, antolamendua eta zerbitzu orokorrak"
2010,9,2,1,3,"Langileen hautaketa, prestakuntza, igoera eta ordezkaritza"
2010,9,2,1,4,"Langileen administrazioa, kudeaketa eta kontrola"
2010,9,2,1,5,Informazio-estaldura
2010,9,2,1,6,Aldizkari ofizialak editatzea eta egitea
2010,9,2,1,7,Aholkularitza eta defentsa
2010,9,2,1,8,"Ibilgailu, makineria, instalazio eta bestelakoen kontserbazioa eta mantentze-lanak"
2010,9,2,1,9,Inprimakiak eta argitalpenak
2010,9,2,1,A,Administrazio-baliabideen tramitazioa eta ebazpenak
2010,9,2,1,B,Zerbitzu orokorren koordinazioa
2010,9,2,2,1,
2010,9,2,2,2,Koordinazio eta finantza-harremanak toki-erakundeekin
2010,9,2,2,3,Toki-administrazioaren araubide juridikoa eta langileriaren araubidea
2010,9,2,2,4,Alor tekniko edo ekonomikoetako laguntza
2010,9,2,3,1,Ondarearen kudeaketa
2010,9,2,3,3,Estatistikak prestatzea eta hedatzea
2010,9,2,3,4,Ekonomiako eta ogasuneko zuzendaritza eta zerbitzu orokorrak
2010,9,2,3,7,Diruzaintza kudeatzea
2010,9,2,3,8,Erosketak eta hornigaiak kudeatzea
2010,9,2,3,9,Ekonomia eta ogasunari laguntzeko zerbitzuak
2010,9,2,9,1,Ustekabeak eta sailkatu gabeko funtzioak
2010,9,3,1,1,Aurreikuspen eta politika ekonomikoa
2010,9,3,1,2,Aurrekontu-politika
2010,9,3,1,4,Barne-kontrola eta kontabilitate publikoa
2010,9,3,1,5,Finantza- eta kreditu-politika
2010,9,3,2,1,Zerga-sistemaren aplikazioa
2010,9,3,2,2,Higiezinen katastroaren kudeaketa
2010,9,3,2,3,Erreklamazio ekonomiko-administratiboak ebaztea
2010,9,3,2,4,Ikuskapen fiskala
2010,9,4,1,1,Hitzarmen Ekonomikoa Estatuarekin
2010,9,4,2,2,"Toki-erakundeentzako transferentziak, Estatuaren diru-sarreretan duten partaidetzagatik"
2010,9,4,2,3,Beste transferentzia batzuk
2010,9,4,2,4,"Toki-erakundeentzako transferentziak, obra eta zerbitzuetan laguntzeko"
2010,9,4,2,5,Finantzak saneatzeko toki-erakundeentzako laguntza
2010,9,5,1,1,Zor publikoaren amortizazioa eta finantza-gastuak moneta nazionalean
