#año,gasto_ingreso,capitulo,articulo,concepto,subconcepto,EU
2012,GASTO,2,2,6,2,Publizitatea eta propaganda
2012,GASTO,2,2,6,3,"Gastu juridikoak, auziak"
2012,GASTO,2,2,6,4,Komunitate-gastuak
2012,GASTO,2,2,6,5,Bitartekari independenteen ordainsariak
2012,GASTO,2,2,6,6,"Bilerak, hitzaldiak eta ikastaroak"
2012,GASTO,2,2,6,7,Oposizioak eta hautaprobak
2012,GASTO,2,2,6,9,Bestelako gastuak
2012,GASTO,2,2,7,0,Garbitegi-zerbitzuak
2012,GASTO,2,2,7,1,Garbiketa-zerbitzuak
2012,GASTO,2,2,7,2,Ordainketak eta jakinarazpenak kudeatzeko zerbitzuak
2012,GASTO,2,2,7,3,Informatika-zerbitzuak
2012,GASTO,2,2,7,4,Segurtasun-zerbitzuak
2012,GASTO,2,2,7,5,Hauteskunde-prozesuak eta herri-galdeketak
2012,GASTO,2,2,7,6,Azterketa eta lan teknikoak
2012,GASTO,2,2,7,7,
2012,GASTO,2,2,7,8,Elikadura
2012,GASTO,2,2,7,9,Hirugarrenek egindako bestelako lanak
2012,GASTO,2,2,8,0,"Energia elektrikoa, ura eta gasa"
2012,GASTO,2,2,8,1,"Erregaiak, lubrifikatzaileak eta berokuntza"
2012,GASTO,2,2,8,3,Konponketetarako eta kontserbaziorako materialak eta ordezko piezak
2012,GASTO,2,2,8,4,Garbiketa-materiala
2012,GASTO,2,2,8,5,Jantziak
2012,GASTO,2,2,8,6,Produktu kimikoak eta laborategikoak
2012,GASTO,2,2,8,7,Medikuntzako gasak
2012,GASTO,2,2,8,9,Beste hornigai osagarri batzuk
2012,GASTO,2,3,0,0,Dietak
2012,GASTO,2,3,0,1,Joan-etorriak eta bidaia-gastuak
2012,GASTO,2,3,3,0,Egindako lanengatiko ordainsariak
2012,GASTO,2,3,3,9,Beste kalte-ordain batzuk
2012,GASTO,2,4,0,0,Liburuak eta argitalpenak editatzeko gastuak
2012,GASTO,2,5,0,0,Osasun-arretarako hitzarmenak
2012,GASTO,3,0,0,0,Nafarroako zorraren interesak
2012,GASTO,3,0,1,0,"Zorra jaulki, aldatu eta ezereztearen ondoriozko gastuak"
2012,GASTO,3,0,3,0,Errendimendu inplizituak
2012,GASTO,3,1,0,1,Sektore pribatutik jasotako maileguen eta aurrerakinen interesak
2012,GASTO,3,4,0,0,Gordailuen interesak
2012,GASTO,3,5,0,1,Berandutze-interesak
2012,GASTO,3,5,0,9,Bestelako gastu finantzarioak
2012,GASTO,4,0,0,0,Hitzarmen Ekonomikoaren bidez Estatuari eginiko ekarpena
2012,GASTO,4,0,9,0,Estatuari edo bere erakunde autonomoei egindako bestelako ekarpenak
2012,GASTO,4,3,0,0,Foru-fundazioei egindako transferentzia arruntak
2012,GASTO,4,3,0,9,Beste fundazio batzuei egindako transferentzia arruntak
2012,GASTO,4,4,0,0,Nafarroako Gobernuaren enpresa publikoei egindako transferentzia arruntak
2012,GASTO,4,4,0,9,Beste enpresa publiko batzuei egindako transferentzia arruntak
2012,GASTO,4,4,5,0,Nafarroako Parlamentuari egindako transferentzia arruntak
2012,GASTO,4,4,5,1,Nafarroako Kontuen Ganberari egindako transferentzia arruntak
2012,GASTO,4,4,5,2,Nafarroako Arartekoari egindako transferentzia arruntak
2012,GASTO,4,4,5,5,Nafarroako Unibertsitate Publikoari egindako transferentzia arruntak
2012,GASTO,4,4,5,9,Beste erakunde publiko batzuei egindako transferentzia arruntak
2012,GASTO,4,6,0,0,Transferentzia arrunten funtsa
2012,GASTO,4,6,0,9,Nafarroako tokiko erakundeei egindako bestelako transferentzia arruntak
2012,GASTO,4,7,0,0,Nekazaritzako eta abeltzaintzako enpresei egindako transferentzia arruntak
2012,GASTO,4,7,0,1,Merkataritzako eta industriako enpresei egindako transferentzia arruntak
2012,GASTO,4,7,0,9,Beste enpresa pribatu batzuei egindako transferentzia arruntak
2012,GASTO,4,8,0,0,Ikasleak diren partikularrei egindako transferentzia arruntak
2012,GASTO,4,8,0,2,Laguntza-pentsioak
2012,GASTO,4,8,0,9,Familiei eta beste partikular batzuei egindako transferentzia arruntak
2012,GASTO,4,8,1,1,Unibertsitatez kanpoko ikastetxeei egindako transferentzia arruntak
2012,GASTO,4,8,1,2,Fakultateei eta unibertsitate-eskolei egindako transferentzia arruntak
2012,GASTO,4,8,1,6,Erakunde kultural eta artistikoei egindako transferentzia arruntak
2012,GASTO,4,8,1,9,Irabazi-asmorik gabeko beste erakunde batzuei egindako transferentzia arruntak
2012,GASTO,6,0,0,0,Orubeak
2012,GASTO,6,0,0,1,Landa-finkak
2012,GASTO,6,0,0,2,Beste ondasun natural batzuk
2012,GASTO,6,0,1,0,"Errepideak, bideak eta zubiak"
2012,GASTO,6,0,1,3,Linea elektrikoak eta telefonikoak
2012,GASTO,6,0,1,4,Obra hidraulikoak
2012,GASTO,6,0,1,5,Industrialdeak
2012,GASTO,6,0,1,9,Beste herri-lan batzuk
2012,GASTO,6,0,2,0,Eraikinak
2012,GASTO,6,0,2,1,Bestelako eraikuntzak
2012,GASTO,6,0,3,0,Makineria
2012,GASTO,6,0,3,1,Instalazioak
2012,GASTO,6,0,3,2,Erremintak eta tresnak
2012,GASTO,6,0,4,0,Pertsonak garraiatzeko ibilgailuak
2012,GASTO,6,0,5,0,Altzariak eta bulegoko ekipoak
2012,GASTO,6,0,5,4,Material teknikoa
2012,GASTO,6,0,5,5,Seinaleztapenerako materiala
2012,GASTO,6,0,5,6,Lan eta material artistikoak
2012,GASTO,6,0,5,7,Ekipamendu medikoak
2012,GASTO,6,0,5,9,Beste altzari eta ekipamendu batzuk
2012,GASTO,6,0,6,0,Informazioa prozesatzeko ekipoak
2012,GASTO,6,0,8,1,Argitalpen-funtsen erosketak
2012,GASTO,6,0,8,9,Bestelako ibilgetu materiala
2012,GASTO,6,0,9,0,Bestelako ibilgetu ez-materiala
2012,GASTO,6,0,9,1,Proiektu teknikoak
2012,GASTO,6,0,9,2,"Azterlanak, txostenak eta bestelakoak"
2012,GASTO,7,3,0,9,Beste fundazio batzuei egindako kapital-transferentziak
2012,GASTO,7,4,0,0,Nafarroako Gobernuaren enpresa publikoei egindako kapital-transferentziak
2012,GASTO,7,4,0,9,Beste enpresa publiko batzuei egindako kapital-transferentziak
2012,GASTO,7,4,5,0,Nafarroako Parlamentuari egindako kapital-transferentziak
2012,GASTO,7,4,5,1,Nafarroako Kontuen Ganberari egindako kapital-transferentziak
2012,GASTO,7,4,5,2,Nafarroako Arartekoari egindako kapital-transferentziak
2012,GASTO,7,4,5,5,Nafarroako Unibertsitate Publikoari egindako kapital-transferentziak
2012,GASTO,7,4,5,9,Beste erakunde publiko batzuei egindako kapital-transferentziak
2012,GASTO,7,6,0,0,Kapital-transferentzien funtsa
2012,GASTO,7,6,0,9,Nafarroako tokiko erakundeei egindako beste kapital-transferentzia batzuk
2012,GASTO,7,7,0,0,Nekazaritzako eta abeltzaintzako enpresei egindako kapital-transferentziak
2012,GASTO,7,7,0,1,Merkataritzako eta industriako enpresei egindako kapital-transferentziak
2012,GASTO,7,7,0,9,Beste enpresa pribatu batzuei egindako kapital-transferentziak
2012,GASTO,7,8,0,0,Familiei eta partikularrei egindako kapital-transferentziak
2012,GASTO,7,8,0,9,Beste familia eta partikular batzuei egindako kapital-transferentziak
2012,GASTO,7,8,1,1,Unibertsitatez kanpoko ikastetxeei egindako kapital-transferentziak
2012,GASTO,7,8,1,2,Fakultateei eta unibertsitate-eskolei egindako kapital-transferentziak
2012,GASTO,7,8,1,6,Erakunde kultural eta artistikoei egindako kapital-transferentziak
2012,GASTO,7,8,1,9,Irabazi-asmorik gabeko beste erakunde batzuei egindako kapital-transferentziak
2012,GASTO,8,2,0,6,Nafarroako tokiko korporazioei emandako epe laburreko maileguak
2012,GASTO,8,3,1,7,Enpresa pribatuei emandako epe luzeko maileguak
2012,GASTO,8,3,1,8,Familiei eta enplegatuei emandako epe luzeko maileguak
2012,GASTO,8,3,1,9,Sektore publikotik kanpo emandako epe luzeko beste mailegu batzuk
2012,GASTO,8,4,0,1,Fidantzatutako obligazioak ez betetzeagatiko ordainketak
2012,GASTO,8,5,0,0,Foru-komunitatearen sozietate publikoen akzio eta partizipazioak eskuratzea
2012,GASTO,8,6,0,0,Sektore Publikotik kanpoko akzioak eta partizipazioak eskuratzea
2012,GASTO,9,0,2,0,Zor publikoaren amortizazioa
2012,GASTO,9,1,2,0,Epe luzeko maileguen eta aurrerakinen amortizazioa
2012,GASTO,9,4,0,9,Beste itzulketa batzuk
#año,gasto_ingreso,capitulo,articulo,concepto,subconcepto,EU
2012,INGRESO,2,,,,Zeharkako zergak
2012,INGRESO,3,,,,"Tasak, prezio publikoak eta beste diru-sarrera batzuk"
2012,INGRESO,4,,,,Transferentzia arruntak
2012,INGRESO,5,,,,Ondare-sarrerak
2012,INGRESO,6,,,,Inbertsio errealen besterentzea
